time,regions,populationin1
2022,WEU,4.3024540491684496e8
2022,JPK,1.8264624034996754e8
2022,ANZ,2.9631335363748685e7
2022,EEU,1.101109804102685e8
2022,FSU,3.037978992174983e8
2022,MDE,3.371382604111655e8
2022,CAM,1.6369025870955247e8
2022,LAM,4.430311781851193e8
2022,SAS,1.8398081033757858e9
2022,SEA,7.427636683515754e8
2022,CHI,1.4515666383090653e9
2022,MAF,2.0972812647804502e8
2022,SSA,1.1434693398872888e9
2022,SIS,5.764902743638829e7
2023,USA,3.4131229353992295e8
2023,CAN,3.987637005428974e7
2023,WEU,4.3056658592018944e8
2023,JPK,1.8224320983329928e8
2023,ANZ,2.9783344643158484e7
2023,EEU,1.0973010766482112e8
2023,FSU,3.0418967471734875e8
2023,MDE,3.4139124624746287e8
2023,CAM,1.6560527791417587e8
2023,LAM,4.463879158008549e8
2023,SAS,1.8599897742870464e9
2023,SEA,7.490272205972033e8
2023,CHI,1.4535688059735935e9
2023,MAF,2.1249646356203908e8
2023,SSA,1.1704595136806834e9
2023,SIS,5.8105025988663495e7
2024,USA,3.4295047508339053e8
2024,CAN,4.005808633376854e7
2024,WEU,4.30887664548949e8
2024,JPK,1.818399418799151e8
2024,ANZ,2.9935353908643253e7
2024,EEU,1.0934952674300106e8
2024,FSU,3.045818278198791e8
2024,MDE,3.456421390280696e8
2024,CAM,1.675188503538734e8
2024,LAM,4.497437462736062e8
2024,SAS,1.880168782902514e9
2024,SEA,7.552897774029956e8
2024,CHI,1.4555707682882257e9
2024,MAF,2.15264070146739e8
2024,SSA,1.1974474432453458e9
2024,SIS,5.856071671203887e7
2025,USA,3.4458990823933876e8
2025,CAN,4.0240006209630735e7
2025,WEU,4.3120864082420284e8
2025,JPK,1.8143643581254143e8
2025,ANZ,3.0087363159554888e7
2025,EEU,1.0896923823092799e8
2025,FSU,3.049743373765782e8
2025,MDE,3.4989096524137616e8
2025,CAM,1.6943099275349122e8
2025,LAM,4.530986748483606e8
2025,SAS,1.9003451411493475e9
2025,SEA,7.615513438082638e8
2025,CHI,1.4575725179887023e9
2025,MAF,2.180309434110016e8
2025,SSA,1.224432968099162e9
2025,SIS,5.901610199728027e7
2026,USA,3.46054107383406e8
2026,CAN,4.03800893952949e7
2026,WEU,4.313140794734804e8
2026,JPK,1.8086648930030087e8
2026,ANZ,3.0208591170485932e7
2026,EEU,1.0851294455756928e8
2026,FSU,3.050028483944589e8
2026,MDE,3.537651216206058e8
2026,CAM,1.7118801470636514e8
2026,LAM,4.558808766419516e8
2026,SAS,1.9187576653265867e9
2026,SEA,7.66766373297761e8
2026,CHI,1.456338222042251e9
2026,MAF,2.2046242622292826e8
2026,SSA,1.2521461663866792e9
2026,SIS,5.9403772064341515e7
2027,USA,3.475193787251073e8
2027,CAN,4.0520291159755886e7
2027,WEU,4.3141920463824964e8
2027,JPK,1.802962218535058e8
2027,ANZ,3.0329819168255094e7
2027,EEU,1.0805703185130087e8
2027,FSU,3.0503139530281985e8
2027,MDE,3.576374336115071e8
2027,CAM,1.729437473142043e8
2027,LAM,4.586623406096603e8
2027,SAS,1.9371678518343627e9
2027,SEA,7.719805958387921e8
2027,CHI,1.455104099493338e9
2027,MAF,2.2289332706424466e8
2027,SSA,1.2798581214264948e9
2027,SIS,5.979118362575007e7
2028,USA,3.489857188257761e8
2028,CAN,4.0660611330639526e7
2028,WEU,4.315240161130161e8
2028,JPK,1.797256322782441e8
2028,ANZ,3.0451047156229414e7
2028,EEU,1.076015011543844e8
2028,FSU,3.050599597529262e8
2028,MDE,3.615079215016291e8
2028,CAM,1.74698203399245e8
2028,LAM,4.614430699104882e8
2028,SAS,1.9555757047367845e9
2028,SEA,7.771940132935245e8
2028,CHI,1.45387014595363e9
2028,MAF,2.2532363846314335e8
2028,SSA,1.3075685626207407e9
2028,SIS,6.017833780119667e7
2029,USA,3.5045312413238335e8
2029,CAN,4.080104973460325e7
2029,WEU,4.316285136267825e8
2029,JPK,1.7915471936714447e8
2029,ANZ,3.05722751332252e7
2029,EEU,1.0714635356694089e8
2029,FSU,3.05088525569596e8
2029,MDE,3.6537660526332515e8
2029,CAM,1.7645139593165734e8
2029,LAM,4.64223067850791e8
2029,SAS,1.9739812322396698e9
2029,SEA,7.82406628463766e8
2029,CHI,1.4526363577751822e9
2029,MAF,2.2775335638921064e8
2029,SSA,1.3352773021264458e9
2029,SIS,6.056523619296277e7
2030,USA,3.519215906247261e8
2030,CAN,4.0941606199076526e7
2030,WEU,4.317326970276444e8
2030,JPK,1.7858348191061568e8
2030,ANZ,3.0693503098977204e7
2030,EEU,1.0669159017183235e8
2030,FSU,3.0511707817085433e8
2030,MDE,3.692435035107607e8
2030,CAM,1.7820333887134603e8
2030,LAM,4.6700233785550827e8
2030,SAS,1.99238444958656e9
2030,SEA,7.876184450990969e8
2030,CHI,1.451402731802679e9
2030,MAF,2.3018248330218193e8
2030,SSA,1.3629841911688952e9
2030,SIS,6.095188106874841e7
2031,USA,3.5312291594347024e8
2031,CAN,4.103240043464955e7
2031,WEU,4.3166703980003333e8
2031,JPK,1.778590031054833e8
2031,ANZ,3.0782775565347236e7
2031,EEU,1.0616322060105869e8
2031,FSU,3.049715064866629e8
2031,MDE,3.7281130396099377e8
2031,CAM,1.797803507690788e8
2031,LAM,4.692343558450415e8
2031,SAS,2.0086162548186405e9
2031,SEA,7.917790677775415e8
2031,CHI,1.4476774715005069e9
2031,MAF,2.324325156119959e8
2031,SSA,1.3912037395458655e9
2031,SIS,6.127023304973882e7
2032,USA,3.5432504551583546e8
2032,CAN,4.112321420484659e7
2032,WEU,4.316009026006727e8
2032,JPK,1.7713412082860145e8
2032,ANZ,3.0872048023050316e7
2032,EEU,1.056353240546003e8
