time,regions,populationin1
2023,CAN,3.373152423111874e7
2023,WEU,3.970089539243664e8
2023,JPK,2.0366527582263133e8
2023,ANZ,2.489179165222941e7
2023,EEU,1.2746892363965428e8
2023,FSU,2.94951215087338e8
2023,MDE,3.6459325339743125e8
2023,CAM,1.6583046735304025e8
2023,LAM,4.4555387657179916e8
2023,SAS,1.8341876687642143e9
2023,SEA,6.914522873117391e8
2023,CHI,1.541911181046344e9
2023,MAF,2.2688533408602124e8
2023,SSA,1.0342955665558072e9
2023,SIS,5.73376315224907e7
2024,USA,2.993637762579538e8
2024,CAN,3.374492313686712e7
2024,WEU,3.971561867335035e8
2024,JPK,2.045315770104891e8
2024,ANZ,2.4999486392321303e7
2024,EEU,1.275134352583446e8
2024,FSU,2.9504439453795487e8
2024,MDE,3.695146872713471e8
2024,CAM,1.6694942689150664e8
2024,LAM,4.4855988916163975e8
2024,SAS,1.8511423916249547e9
2024,SEA,6.978465549667237e8
2024,CHI,1.5484594989224958e9
2024,MAF,2.3051044301878643e8
2024,SSA,1.0507242816436831e9
2024,SIS,5.772184860058662e7
2025,USA,2.994601938934047e8
2025,CAN,3.375666123880898e7
2025,WEU,3.9728383047149754e8
2025,JPK,2.0535043197072634e8
2025,ANZ,2.5101410080833632e7
2025,EEU,1.2755159017743997e8
2025,FSU,2.95123160156721e8
2025,MDE,3.7431780466691905e8
2025,CAM,1.6803420750265488e8
2025,LAM,4.5147406306239843e8
2025,SAS,1.8677911587944999e9
2025,SEA,7.041255063232293e8
2025,CHI,1.5546485663370926e9
2025,MAF,2.3407830304911906e8
2025,SSA,1.0668914286367596e9
2025,SIS,5.809421066757597e7
2026,USA,2.9954178431454825e8
2026,CAN,3.37667363840292e7
2026,WEU,3.973918630347837e8
2026,JPK,2.061212294054106e8
2026,ANZ,2.5197486721039195e7
2026,EEU,1.2758338221823317e8
2026,FSU,2.951874867529312e8
2026,MDE,3.78996205306112e8
2026,CAM,1.6908403607065463e8
2026,LAM,4.542943213158179e8
2026,SAS,1.8841228162563713e9
2026,SEA,7.102849353561085e8
2026,CHI,1.560473762862557e9
2026,MAF,2.3758443108675176e8
2026,SSA,1.0827766723978426e9
2026,SIS,5.8454451894292764e7
2027,USA,2.9960853430149406e8
2027,CAN,3.377514695099204e7
2027,WEU,3.9748026685213715e8
2027,JPK,2.0684339160690424e8
2027,ANZ,2.5287644709115617e7
2027,EEU,1.276088061612955e8
2027,FSU,2.9523735191260105e8
2027,MDE,3.8354358955933374e8
2027,CAM,1.70098160510718e8
2027,LAM,4.57018643358647e8
2027,SAS,1.9001263437802055e9
2027,SEA,7.163206866187689e8
2027,CHI,1.5659307208012602e9
2027,MAF,2.4102436470291504e8
2027,SSA,1.09835977430224e9
2027,SIS,5.880231330803626e7
2028,USA,2.996604320308667e8
2028,CAN,3.378189148760975e7
2028,WEU,3.9754902340087205e8
2028,JPK,2.0751637545658562e8
2028,ANZ,2.5371817265189182e7
2028,EEU,1.2762785769494204e8
2028,FSU,2.952727312037553e8
2028,MDE,3.879537725352921e8
2028,CAM,1.710758505431274e8
2028,LAM,4.596450675998971e8
2028,SAS,1.9157908716126382e9
2028,SEA,7.222286606357081e8
2028,CHI,1.571015323546423e9
2028,MAF,2.443936726161207e8
2028,SSA,1.1136206467708297e9
2028,SIS,5.913754508069358e7
2029,USA,2.996974669616747e8
2029,CAN,3.378696849223485e7
2029,WEU,3.97598118525979e8
2029,JPK,2.081396721075636e8
2029,ANZ,2.5449940781270366e7
2029,EEU,1.2764053347477666e8
2029,FSU,2.9529360346962523e8
2029,MDE,3.922206977950989e8
2029,CAM,1.7201639872478715e8
2029,LAM,4.621716935821336e8
2029,SAS,1.9311056874484847e9
2029,SEA,7.280048175882909e8
2029,CHI,1.57572372590982e9
2029,MAF,2.4768796266692427e8
2029,SSA,1.128539383822468e9
2029,SIS,5.9459904424778976e7
2030,USA,2.997196335423339e8
2030,CAN,3.379037732944429e7
2030,WEU,3.976275446373505e8
2030,JPK,2.0871280850567254e8
2030,ANZ,2.55219566771737e7
2030,EEU,1.2764683112070657e8
2030,FSU,2.952999504821648e8
2030,MDE,3.96338451047059e8
2030,CAM,1.7291912128905016e8
2030,LAM,4.645966842204522e8
2030,SAS,1.9460602481549606e9
2030,SEA,7.336451818198706e8
2030,CHI,1.5800523503043323e9
2030,MAF,2.5090289095727974e8
2030,SSA,1.143096298886678e9
2030,SIS,5.97691557933244e7
2031,USA,2.997269257083279e8
2031,CAN,3.379211700367703e7
2031,WEU,3.976372934687623e8
2031,JPK,2.092353473771555e8
2031,ANZ,2.5587810059981916e7
2031,EEU,1.2764674921756169e8
2031,FSU,2.952917569436077e8
2031,MDE,4.0030127379290676e8
2031,CAM,1.7378335883446673e8
2031,LAM,4.6691826813929266e8
2031,SAS,1.9606441957903004e9
2031,SEA,7.391458470689698e8
2031,CHI,1.5839978933804379e9
2031,MAF,2.5403417230267414e8
2031,SSA,1.1572719750729237e9
2031,SIS,6.006507305775744e7
2032,USA,2.997343296165895e8
2032,CAN,3.3793877195223704e7
2032,WEU,3.976472464049536e8
2032,JPK,2.097591974666213e8
2032,ANZ,2.565384880841393e7
2032,EEU,1.2764666964312898e8
2032,FSU,2.9528377414567655e8
2032,MDE,4.0420365167117023e8
2032,CAM,1.7465192299609023e8
2032,LAM,4.6925147084871936e8
2032,SAS,1.9753375229712873e9
2032,SEA,7.446877661783401e8
2032,CHI,1.5879533261734333e9
2032,MAF,2.571410955703912e8
2032,SSA,1.1713365842620325e9
2032,SIS,6.036245324613979e7
2033,USA,2.997417489216118e8
2033,CAN,3.379563735348929e7
2033,WEU,3.9765726530215317e8
2033,JPK,2.1028435287191105e8
2033,ANZ,2.5720050234267727e7
2033,EEU,1.2764659225568625e8
2033,FSU,2.9527598932808185e8
2033,MDE,4.0804303099640036e8
2033,CAM,1.7552483327221268e8
2033,LAM,4.715963522489008e8
2033,SAS,1.9901411115292988e9
2033,SEA,7.502712597155707e8
2033,CHI,1.5919187032249894e9
2033,MAF,2.6022182355880517e8
2033,SSA,1.1852818264483676e9
2033,SIS,6.0661331017075576e7
2034,USA,2.9974918233102196e8
2034,CAN,3.379739724067802e7
2034,WEU,3.9766734815832096e8
2034,JPK,2.1081081673687834e8
2034,ANZ,2.578641450602459e7
2034,EEU,1.2764651692369795e8
2034,FSU,2.952683906356133e8
2034,MDE,4.1181687784394675e8
2034,CAM,1.7640211125603127e8
2034,LAM,4.739529704933665e8
2034,SAS,2.0050557874024982e9
2034,SEA,7.55896614532799e8
2034,CHI,1.5958940486608784e9
2034,MAF,2.6327449488177148e8
2034,SSA,1.1990992596319537e9
2034,SIS,6.0961714081191584e7
2035,USA,2.99756631393331e8
2035,CAN,3.379915724647515e7
2035,WEU,3.9767749681151867e8
2035,JPK,2.113385925171753e8
2035,ANZ,2.5852942513402913e7
2035,EEU,1.2764644352245274e8
2035,FSU,2.952609668134508e8
2035,MDE,4.155226826733807e8
2035,CAM,1.7728377872071064e8
2035,LAM,4.7632138397300315e8
2035,SAS,2.0200823807475717e9
2035,SEA,7.615641398094016e8
2035,CHI,1.5998793856565902e9
2035,MAF,2.6629724582214123e8
2035,SSA,1.2127804304317186e9
2035,SIS,6.126360922463321e7
2036,USA,2.9976409456982094e8
2036,CAN,3.380091707559485e7
2036,WEU,3.976877089191921e8
2036,JPK,2.1186768334894243e8
2036,ANZ,2.591963436250605e7
2036,EEU,1.2764637193614803e8
2036,FSU,2.952537073988949e8
2036,MDE,4.1915796321065545e8
2036,CAM,1.781698574887655e8
2036,LAM,4.7870165146933323e8
2036,SAS,2.0352217303473902e9
2036,SEA,7.672741502366856e8
2036,CHI,1.6038747386320806e9
2036,MAF,2.692882134617242e8
2036,SSA,1.2263168933848722e9
2036,SIS,6.15670243134425e7
2037,USA,2.997715732379359e8
2037,CAN,3.380267707335879e7
2037,WEU,3.976979860943561e8
2037,JPK,2.1239809268331462e8
2037,ANZ,2.5986490892414536e7
2037,EEU,1.2764630205429903e8
2037,FSU,2.9524660239511305e8
2037,MDE,4.2272026705044127e8
2037,CAM,1.7906036956045845e8
2037,LAM,4.81093831995561e8
2037,SAS,2.0504746792137225e9
2037,SEA,7.730269853811119e8
2037,CHI,1.607880131043722e9
2037,MAF,2.722455362221987e8
2037,SSA,1.2397002078014786e9
2037,SIS,6.187196628812832e7
2038,USA,2.9977906723648053e8
2038,CAN,3.380443724454529e7
2038,WEU,3.97708327866929e8
2038,JPK,2.129298238187351e8
2038,ANZ,2.605351255394104e7
