time,regions,loss
2069,SAS,-2.781843855147059e10
2069,SEA,1.579033769256942e10
2069,CHI,-3.2211412668115314e11
2069,MAF,6.967413416705177e10
2069,SSA,7.596070695707191e10
2069,SIS,-4.922076727314816e9
2070,USA,8.70668004221167e10
2070,CAN,-2.0841955688199959e9
2070,WEU,9.992322698458746e10
2070,JPK,-1.258297562893404e11
2070,ANZ,-8.735247273777271e9
2070,EEU,3.0851019368384595e9
2070,FSU,1.0386147972881418e11
2070,MDE,-1.2464152020199806e11
2070,CAM,-1.7038281938135424e10
2070,LAM,2.2203713492882652e10
2070,SAS,-2.7040689675690422e10
2070,SEA,1.8943967580905544e10
2070,CHI,-3.2321774465079755e11
2070,MAF,7.332497368769928e10
2070,SSA,7.886563539410065e10
2070,SIS,-5.010616752464342e9
2071,USA,9.128579039347415e10
2071,CAN,-1.9194228701000826e9
2071,WEU,1.0658670554955322e11
2071,JPK,-1.2638945863052103e11
2071,ANZ,-8.74311563720257e9
2071,EEU,3.7337822307173123e9
2071,FSU,1.0835539453018399e11
2071,MDE,-1.2643249476195917e11
2071,CAM,-1.6626250129195213e10
2071,LAM,2.4250277050227726e10
2071,SAS,-2.615645293723579e10
2071,SEA,2.2306643209364937e10
2071,CHI,-3.239947918364805e11
2071,MAF,7.715487314912317e10
2071,SSA,8.191109992816412e10
2071,SIS,-5.099053731617658e9
2072,USA,9.562898253495229e10
2072,CAN,-1.7462184887613227e9
2072,WEU,1.13471972203982e11
2072,JPK,-1.2688456105972502e11
2072,ANZ,-8.744145617498379e9
2072,EEU,4.41530032278534e9
2072,FSU,1.1300551223870099e11
2072,MDE,-1.2815516068573317e11
2072,CAM,-1.615585825363716e10
2072,LAM,2.640723703619688e10
2072,SAS,-2.514376857340907e10
2072,SEA,2.589131659733878e10
2072,CHI,-3.244094066990107e11
2072,MAF,8.115702823148228e10
2072,SSA,8.509493193065997e10
2072,SIS,-5.185591124074392e9
2073,USA,1.0009964962941115e11
2073,CAN,-1.5645621558741026e9
2073,WEU,1.2058697530086871e11
2073,JPK,-1.2731146501817113e11
2073,ANZ,-8.738328372185358e9
2073,EEU,5.130945513754829e9
2073,FSU,1.1781571922714534e11
2073,MDE,-1.298046107722937e11
2073,CAM,-1.5625036467402306e10
2073,LAM,2.8673989773825314e10
2073,SAS,-2.4004051701997154e10
2073,SEA,2.969995673772471e10
2073,CHI,-3.2444396334076697e11
2073,MAF,8.533297018846849e10
2073,SSA,8.84112146117436e10
2073,SIS,-5.270614548824366e9
2074,USA,1.0470144353217137e11
2074,CAN,-1.3741945053637662e9
2074,WEU,1.2793647968946123e11
2074,JPK,-1.2766743388314279e11
2074,ANZ,-8.725395251962078e9
2074,EEU,5.882075946820161e9
2074,FSU,1.2279169445512946e11
2074,MDE,-1.3137401724871129e11
2074,CAM,-1.5030673913255054e10
2074,LAM,3.1054011214925156e10
2074,SAS,-2.273039543951178e10
2074,SEA,3.3741134252325645e10
2074,CHI,-3.240742992302907e11
2074,MAF,8.968779576881804e10
2074,SSA,9.186482737553525e10
2074,SIS,-5.353886953014437e9
2075,USA,1.0943568521780031e11
2075,CAN,-1.1749637294123375e9
2075,WEU,1.3552578823030145e11
2075,JPK,-1.2795028511565231e11
2075,ANZ,-8.705147683135475e9
2075,EEU,6.669864121634385e9
2075,FSU,1.2793727842253558e11
2075,MDE,-1.3285831973276805e11
2075,CAM,-1.436986289449633e10
2075,LAM,3.35510727182838e10
2075,SAS,-2.131653267389974e10
2075,SEA,3.802376200765731e10
2075,CHI,-3.232804848936667e11
2075,MAF,9.42277479386866e10
2075,SSA,9.546071128649129e10
2075,SIS,-5.43528032527162e9
2076,USA,1.1430749503231166e11
2076,CAN,-9.66459866314592e8
2076,WEU,1.4336402271046136e11
2076,JPK,-1.281552769594814e11
2076,ANZ,-8.677159960047369e9
2076,EEU,7.495942073597649e9
2076,FSU,1.3325893195486552e11
2076,MDE,-1.3425080490011203e11
2076,CAM,-1.3639146876427422e10
2076,LAM,3.6169890741238914e10
2076,SAS,-1.9755047808518166e10
2076,SEA,4.2557765667226906e10
2076,CHI,-3.220355154492623e11
2076,MAF,9.895910220410849e10
2076,SSA,9.920455084873112e10
2076,SIS,-5.514559172488603e9
2077,USA,1.1930506029099803e11
2077,CAN,-7.488587537122706e8
2077,WEU,1.5144112968222437e11
2077,JPK,-1.2827330591635735e11
2077,ANZ,-8.64069857076749e9
2077,EEU,8.356728877347205e9
2077,FSU,1.3871890455810574e11
2077,MDE,-1.3551532885459691e11
2077,CAM,-1.283363298522325e10
2077,LAM,3.890103886015984e10
2077,SAS,-1.803130177871045e10
2077,SEA,4.7338435452992546e10
2077,CHI,-3.202522574189767e11
2077,MAF,1.0386264793063869e11
2077,SSA,1.0309439364084111e11
2077,SIS,-5.589884800519514e9
2078,USA,1.2442698227258873e11
2078,CAN,-5.2221429825444335e8
2078,WEU,1.597536685977202e11
2078,JPK,-1.2830224232979248e11
2078,ANZ,-8.595749532879875e9
2078,EEU,9.25254779963671e9
2078,FSU,1.4431698355097815e11
2078,MDE,-1.3664535371471385e11
2078,CAM,-1.195156296007905e10
2078,LAM,4.17430706124386e10
2078,SAS,-1.6144556858938728e10
2078,SEA,5.236654394269244e10
2078,CHI,-3.179128765129504e11
2078,MAF,1.0893777447245488e11
2078,SSA,1.0712607042053308e11
2078,SIS,-5.661458008079649e9
2079,USA,1.29675252854565e11
2079,CAN,-2.863568698898975e8
2079,WEU,1.6830579146143048e11
2079,JPK,-1.2823830094295363e11
2079,ANZ,-8.542025000162557e9
2079,EEU,1.0183709894625032e10
2079,FSU,1.5005154125222424e11
2079,MDE,-1.376338002769151e11
2079,CAM,-1.0990476369071169e10
2079,LAM,4.4696961056458405e10
2079,SAS,-1.4089164545036325e10
2079,SEA,5.764688646442747e10
2079,CHI,-3.1499503353566425e11
2079,MAF,1.1418603810362723e11
2079,SSA,1.1130151334812294e11
2079,SIS,-5.729013753395767e9
2080,USA,1.3505725365817596e11
2080,CAN,-4.066756845025754e7
2080,WEU,1.7710899478413593e11
2080,JPK,-1.2807324527417322e11
2080,ANZ,-8.478831861173852e9
2080,EEU,1.115138956259461e10
2080,FSU,1.5592471926673276e11
2080,MDE,-1.3847199913718866e11
2080,CAM,-9.947009043813025e9
2080,LAM,4.776616821454611e10
2080,SAS,-1.185836316511297e10
2080,SEA,6.3186360048200226e10
2080,CHI,-3.114709120802129e11
2080,MAF,1.1960988554910194e11
2080,SSA,1.1562352730001845e11
2080,SIS,-5.792210166427965e9
2081,USA,1.4059721675553638e11
2081,CAN,2.166176391462642e8
2081,WEU,1.861974713190824e11
2081,JPK,-1.2778453278440793e11
2081,ANZ,-8.404395356230207e9
2081,EEU,1.215831009046859e10
2081,FSU,1.619423770297021e11
2081,MDE,-1.391469170436437e11
2081,CAM,-8.81524322748869e9
2081,LAM,5.0960450507016846e10
2081,SAS,-9.44168707072582e9
2081,SEA,6.899849998628181e10
2081,CHI,-3.072957736003723e11
2081,MAF,1.2521500419035544e11
2081,SSA,1.200979503270922e11
2081,SIS,-5.850490426146104e9
2082,USA,1.462798683586225e11
2082,CAN,4.847675515762413e8
2082,WEU,1.9556236585074783e11
2082,JPK,-1.2738525040334099e11
2082,ANZ,-8.3197245179450655e9
2082,EEU,1.320447592789279e10
2082,FSU,1.6809878220052753e11
2082,MDE,-1.3966631948215375e11
2082,CAM,-7.5958919038163e9
2082,LAM,5.4281489695504e10
2082,SAS,-6.836841770029171e9
2082,SEA,7.509240622485182e10
2082,CHI,-3.0245571795860266e11
2082,MAF,1.3100412942686092e11
2082,SSA,1.2472798996011435e11
2082,SIS,-5.905530356764115e9
2083,USA,1.5209595937760715e11
2083,CAN,7.633597679072253e8
2083,WEU,2.0519198774786133e11
2083,JPK,-1.2687920144150555e11
2083,ANZ,-8.225005464216977e9
2083,EEU,1.4300681496838593e10
2083,FSU,1.7439221636425702e11
2083,MDE,-1.4002385620295895e11
2083,CAM,-6.285194784614038e9
2083,LAM,5.773497526656756e10
2083,SAS,-4.033710394433058e9
2083,SEA,8.147653980137286e10
2083,CHI,-2.969245191688479e11
2083,MAF,1.3697825854713182e11
2083,SSA,1.2951527079652132e11
2083,SIS,-5.95643345941642e9
2084,USA,1.580471599406942e11
2084,CAN,1.0525627299476357e9
2084,WEU,2.1509013136027054e11
2084,JPK,-1.2626238154130531e11
2084,ANZ,-8.119925263812e9
2084,EEU,1.5425300678083078e10
2084,FSU,1.808197632326738e11
2084,MDE,-1.4021228100588474e11
2084,CAM,-4.8798176126128845e9
2084,LAM,6.1323558604094444e10
2084,SAS,-1.0256548489489719e9
2084,SEA,8.81571404155588e10
2084,CHI,-2.906761794641914e11
2084,MAF,1.4313834776813004e11
2084,SSA,1.3446140740809988e11
2084,SIS,-6.002940090330979e9
2085,USA,1.6412952966192087e11
2085,CAN,1.352228621204397e9
2085,WEU,2.2525431478312903e11
2085,JPK,-1.2553508212123984e11
2085,ANZ,-8.0044449516256485e9
2085,EEU,1.658920344307262e10
2085,FSU,1.873801907669568e11
2085,MDE,-1.4022524917719867e11
2085,CAM,-3.3768933717881565e9
2085,LAM,6.504855395240051e10
2085,SAS,2.1932191824664774e9
2085,SEA,9.513896271748758e10
2085,CHI,-2.8368773480983875e11
2085,MAF,1.4948445260648096e11
2085,SSA,1.3956724703665363e11
2085,SIS,-6.044825584422844e9
2086,USA,1.7034897369535635e11
2086,CAN,1.66288653609551e9
2086,WEU,2.3569474840629773e11
2086,JPK,-1.2468900465056543e11
2086,ANZ,-7.877895195386657e9
2086,EEU,1.7793046463538998e10
2086,FSU,1.9407239105205664e11
2086,MDE,-1.400543589235622e11
2086,CAM,-1.7723630883169541e9
2086,LAM,6.891468767369156e10
2086,SAS,5.630027795815819e9
2086,SEA,1.0242924527487509e11
2086,CHI,-2.7593026774431995e11
2086,MAF,1.5601748713265393e11
2086,SSA,1.44834464757996e11
2086,SIS,-6.081771323137427e9
2087,USA,1.7670187835112006e11
2087,CAN,1.9843741482985687e9
2087,WEU,2.4641015103351617e11
2087,JPK,-1.237241406083562e11
2087,ANZ,-7.740251618559115e9
2087,EEU,1.9036704596367943e10
2087,FSU,2.0089362000953403e11
2087,MDE,-1.3969336325958353e11
2087,CAM,-6.3277722158861846e7
2087,LAM,7.29230451502577e10
2087,SAS,9.290677369741924e9
2087,SEA,1.1003246459615305e11
2087,CHI,-2.6738019407284564e11
2087,MAF,1.627370677372082e11
2087,SSA,1.5026361902589658e11
2087,SIS,-6.113538480391361e9
2088,USA,1.8318713627745428e11
2088,CAN,2.3167138939315815e9
2088,WEU,2.573990899774791e11
2088,JPK,-1.2263826894537982e11
2088,ANZ,-7.59131639467129e9
2088,EEU,2.032010429928667e10
2088,FSU,2.078408160405007e11
2088,MDE,-1.3913579608489157e11
