country,quintile,pop_quint,outmig_quint,inmig_quint,pop,gdp,gini,gdpshare_quint,ypc_quint,ypc_rel,fundregion,regionname
SLV,q1,0.2,0.11120248604460904,0.13514558703940252,6183.875,37.04142334866409,0.4243,0.05122150544025597,1534.0845890064259,0.2561075272012798,CAM,Central America
SRB,q1,0.2,0.15658796098267921,0.34458223537009697,8991.254,70.04375295597576,0.2965,0.08381317268358565,3264.610899606223,0.4190658634179283,EEU,Central & Eastern Europe
STP,q1,0.2,0.07258350700741721,0.11040304061070474,180.371,0.2810829464932609,0.3682,0.06434285521478489,501.34665022539684,0.32171427607392444,SIS,Small Island States
SUR,q1,0.2,0.1073552073619318,0.1543977569188475,529.131,,0.5761,0.02427454932806416,,,LAM,South America
SVK,q1,0.2,0.1452908781475018,0.3826252712139307,5404.294,109.48990695010632,0.27051746,0.09164781952327287,9283.831738043198,0.4582390976163644,EEU,Central & Eastern Europe
SVN,q1,0.2,0.13897609410642006,0.35899774035513143,2043.337,51.32285473442756,0.2487,0.09855626491390791,12377.275181098994,0.49278132456953955,EEU,Central & Eastern Europe
SWE,q1,0.2,0.12075291303872962,0.2346024481601528,9390.168,316.7771014367621,0.2724,0.09106590520874375,15360.531085141809,0.4553295260437187,WEU,Western Europe
SWZ,q1,0.2,0.08936677732968207,0.1239107367440548,1064.837,5.637987396627411,0.5745,0.02449778568285459,648.5415463832193,0.12248892841427296,SSA,Sub-Saharan Africa
SYR,q1,0.2,0.09187599326202996,0.1014696760094959,21362.529,96.93430163252933,0.4177,0.05267215943963342,1195.0221321544147,0.26336079719816713,MDE,Middle East
TCD,q1,0.2,0.15767682575529166,0.06680855903619588,11952.136,13.798873589621824,0.4932,0.03750389668199326,216.49332363397735,0.1875194834099663,SSA,Sub-Saharan Africa
TGO,q1,0.2,0.12139193835543809,0.08639998319795579,6421.679,5.396533630046934,0.5202,0.03281525905444144,137.8834484454886,0.16407629527220718,SSA,Sub-Saharan Africa
THA,q1,0.2,0.15918050551774263,0.25806360358053665,67195.028,530.3670868449135,0.41986904,0.05219271757906861,2059.772902909567,0.2609635878953431,SEA,Southeast Asia
TJK,q1,0.2,0.08282090665965083,0.14759052613754922,7527.394,13.345545695584383,0.3077,0.08056576882166509,714.1875058681791,0.4028288441083255,FSU,Former Soviet Union
