region,quint,age,ageall,agemig_reg,index
USA,5,10,11,0.29292076404488965,1
USA,5,10,12,0.16951433104449634,1
USA,5,10,13,0.08679133749478213,1
USA,5,10,14,0.036615095505611206,1
USA,5,15,15,0.6145043252948963,1
USA,5,15,16,0.3869764847338123,1
USA,5,15,17,0.2239447249616969,1
USA,5,15,18,0.1146596991803888,1
USA,5,15,19,0.04837206059172652,1
USA,5,20,20,0.5808806765175694,1
USA,5,20,21,0.36580240853584545,1
USA,5,20,22,0.21169120864342908,1
USA,5,20,23,0.1083858988254357,1
USA,5,20,24,0.04572530106698068,1
USA,5,25,25,0.32886855051581904,1
USA,5,25,26,0.20710089478547203,1
USA,5,25,27,0.11985005485270372,1
USA,5,25,28,0.06136322808458431,1
USA,5,25,29,0.025887611848184004,1
USA,5,30,30,0.20170967535448756,1
USA,5,30,31,0.1270241687363537,1
USA,5,30,32,0.07350935690761208,1
USA,5,30,33,0.03763679073669739,1
USA,5,30,34,0.01587802109204421,1
USA,5,35,35,0.12017411589939261,1
USA,5,35,36,0.07567816044976328,1
USA,5,35,37,0.04379523174176115,1
USA,5,35,38,0.02242315865178171,1
USA,5,35,39,0.009459770056220406,1
USA,5,40,40,0.06910990849517806,1
USA,5,40,41,0.0435211085567302,1
USA,5,40,42,0.025185826711070718,1
USA,5,40,43,0.012895143276068208,1
USA,5,40,44,0.005440138569591275,1
USA,5,45,45,0.037574006853047584,1
USA,5,45,46,0.023661765248566412,1
USA,5,45,47,0.013693151185512968,1
USA,5,45,48,0.007010893406982641,1
USA,5,45,49,0.0029577206560708006,1
USA,5,50,50,0.02134564067671617,1
USA,5,50,51,0.013442152729360618,1
USA,5,50,52,0.0077790235702318395,1
USA,5,50,53,0.0039828600679587016,1
USA,5,50,54,0.0016802690911700774,1
USA,5,55,55,0.01279164278089892,1
USA,5,55,56,0.008055378544239553,1
USA,5,55,57,0.004661677398286778,1
USA,5,55,58,0.00238677882792283,1
USA,5,55,59,0.0010069223180299441,1
USA,5,60,60,0.007329339914348685,1
USA,5,60,61,0.0046155609956248286,1
USA,5,60,62,0.0026710422428384423,1
USA,5,60,63,0.0013675736283332823,1
USA,5,60,64,0.0005769451244531036,1
USA,5,65,65,0.003950539387344454,1
USA,5,65,66,0.002487803229348111,1
USA,5,65,67,0.0014397009429097862,1
USA,5,65,68,0.0007371268827698104,1
USA,5,65,69,0.0003109754036685139,1
USA,5,70,70,0.0054005388229545395,1
USA,5,70,71,0.0034009224074582514,1
USA,5,70,72,0.001968126393205007,1
USA,5,70,73,0.0010076807133209634,1
USA,5,70,74,0.0004251153009322814,1
USA,5,75,75,0.0,1
USA,5,75,76,0.0,1
USA,5,75,77,0.0,1
USA,5,75,78,0.0,1
USA,5,75,79,0.0,1
USA,5,80,80,0.0,1
USA,5,80,81,0.0,1
USA,5,80,82,0.0,1
USA,5,80,83,0.0,1
USA,5,80,84,0.0,1
USA,5,85,85,0.0,1
USA,5,85,86,0.0,1
USA,5,85,87,0.0,1
USA,5,85,88,0.0,1
USA,5,85,89,0.0,1
USA,5,90,90,0.0,1
USA,5,90,91,0.0,1
USA,5,90,92,0.0,1
USA,5,90,93,0.0,1
USA,5,90,94,0.0,1
USA,5,95,95,0.0,1
USA,5,95,96,0.0,1
USA,5,95,97,0.0,1
USA,5,95,98,0.0,1
USA,5,95,99,0.0,1
USA,5,100,100,0.0,1
USA,5,100,101,0.0,1
USA,5,100,102,0.0,1
USA,5,100,103,0.0,1
USA,5,100,104,0.0,1
USA,5,105,105,0.0,1
USA,5,105,106,0.0,1
USA,5,105,107,0.0,1
USA,5,105,108,0.0,1
USA,5,105,109,0.0,1
USA,5,110,110,0.0,1
USA,5,110,111,0.0,1
USA,5,110,112,0.0,1
USA,5,110,113,0.0,1
USA,5,110,114,0.0,1
USA,5,115,115,0.0,1
USA,5,115,116,0.0,1
USA,5,115,117,0.0,1
USA,5,115,118,0.0,1
USA,5,115,119,0.0,1
USA,5,120,120,0.0,1
CAN,1,0,0,0.14518788877499114,2
CAN,1,0,1,0.14518788877499114,2
CAN,1,0,2,0.1116829913653778,2
CAN,1,0,3,0.08934639309230225,2
CAN,1,0,4,0.06700979481922668,2
CAN,1,5,5,0.028845822102341045,2
CAN,1,5,6,0.024724990373435184,2
CAN,1,5,7,0.02060415864452932,2
CAN,1,5,8,0.016483326915623455,2
CAN,1,5,9,0.012362495186717592,2
CAN,1,10,10,0.001068966777494038,2
CAN,1,10,11,0.0009162572378520326,2
CAN,1,10,12,0.0007635476982100272,2
CAN,1,10,13,0.0006108381585680217,2
CAN,1,10,14,0.0004581286189260163,2
CAN,1,15,15,0.0598057326387424,2
CAN,1,15,16,0.05126205654749348,2
CAN,1,15,17,0.04271838045624457,2
CAN,1,15,18,0.03417470436499566,2
CAN,1,15,19,0.02563102827374674,2
CAN,1,20,20,0.2656637301768043,2
CAN,1,20,21,0.22771176872297508,2
CAN,1,20,22,0.1897598072691459,2
CAN,1,20,23,0.15180784581531673,2
CAN,1,20,24,0.11385588436148754,2
CAN,1,25,25,0.3040892198928107,2
CAN,1,25,26,0.26064790276526634,2
CAN,1,25,27,0.21720658563772194,2
CAN,1,25,28,0.17376526851017754,2
CAN,1,25,29,0.13032395138263317,2
CAN,1,30,30,0.2172383298824907,2
CAN,1,30,31,0.18620428275642062,2
CAN,1,30,32,0.1551702356303505,2
CAN,1,30,33,0.1241361885042804,2
CAN,1,30,34,0.09310214137821031,2
CAN,1,35,35,0.1390065493179602,2
CAN,1,35,36,0.11914847084396589,2
CAN,1,35,37,0.09929039236997157,2
CAN,1,35,38,0.07943231389597726,2
CAN,1,35,39,0.059574235421982945,2
CAN,1,40,40,0.08719184879402642,2
CAN,1,40,41,0.07473587039487978,2
CAN,1,40,42,0.06227989199573315,2
CAN,1,40,43,0.04982391359658652,2
CAN,1,40,44,0.03736793519743989,2
CAN,1,45,45,0.055692128116974784,2
CAN,1,45,46,0.047736109814549815,2
CAN,1,45,47,0.039780091512124846,2
CAN,1,45,48,0.03182407320969988,2
CAN,1,45,49,0.023868054907274908,2
CAN,1,50,50,0.034028950534903846,2
CAN,1,50,51,0.029167671887060438,2
CAN,1,50,52,0.02430639323921703,2
CAN,1,50,53,0.019445114591373623,2
CAN,1,50,54,0.014583835943530219,2
CAN,1,55,55,0.020214043948395516,2
CAN,1,55,56,0.017326323384339013,2
CAN,1,55,57,0.014438602820282512,2
CAN,1,55,58,0.01155088225622601,2
CAN,1,55,59,0.008663161692169508,2
CAN,1,60,60,0.012121435857385655,2
CAN,1,60,61,0.010389802163473419,2
CAN,1,60,62,0.008658168469561182,2
CAN,1,60,63,0.006926534775648946,2
CAN,1,60,64,0.0051949010817367094,2
CAN,1,65,65,0.007497526219647146,2
CAN,1,65,66,0.006426451045411839,2
CAN,1,65,67,0.005355375871176533,2
CAN,1,65,68,0.0042843006969412265,2
CAN,1,65,69,0.0032132255227059195,2
CAN,1,70,70,0.011179527828494587,2
CAN,1,70,71,0.009582452424423932,2
CAN,1,70,72,0.007985377020353276,2
CAN,1,70,73,0.006388301616282621,2
CAN,1,70,74,0.004791226212211966,2
CAN,1,75,75,0.0,2
CAN,1,75,76,0.0,2
CAN,1,75,77,0.0,2
CAN,1,75,78,0.0,2
CAN,1,75,79,0.0,2
CAN,1,80,80,0.0,2
CAN,1,80,81,0.0,2
CAN,1,80,82,0.0,2
CAN,1,80,83,0.0,2
CAN,1,80,84,0.0,2
CAN,1,85,85,0.0,2
CAN,1,85,86,0.0,2
CAN,1,85,87,0.0,2
