country,quintile,pop_quint,outmig_quint,inmig_quint,pop,gdp,gdpshare_quint,gini,ypc_quint,ypc_rel,fundregion,regionname
BGR,q4,0.2,0.2163142286669589,0.14339768696424154,7425.008,86.64807456732147,0.2296530186343907,0.36457249,13399.98009648148,1.1482650931719534,EEU,Central & Eastern Europe
BGR,q5,0.19999999999999993,0.25278239302446154,0.17881198243944382,7425.008,86.64807456732147,0.43205667523831204,0.36457249,25209.99237533364,2.16028337619156,EEU,Central & Eastern Europe
BHR,q1,0.2,0.1325376166643038,0.1975405005699532,1240.86,,0.05331630015438531,0.414804506,,,MDE,Middle East
BHR,q2,0.2,0.1430472960910276,0.09888366541096402,1240.86,,0.0993084015519169,0.414804506,,,MDE,Middle East
BHR,q3,0.2,0.204170436412579,0.17681491765148882,1240.86,,0.14941364679052077,0.414804506,,,MDE,Middle East
BHR,q4,0.2,0.2475475305856832,0.26348354709414046,1240.86,,0.22575623942196166,0.414804506,,,MDE,Middle East
BHR,q5,0.19999999999999996,0.27269712024640647,0.2632773692734536,1240.86,,0.47220541208121536,0.414804506,,,MDE,Middle East
BHS,q1,0.2,0.130992756309713,0.2221625486101248,354.942,7.807282653717896,0.0499882704805983,0.43,5497.694792565172,0.2499413524029915,SIS,Small Island States
BHS,q2,0.20000000000000004,0.1431766684011284,0.3442611812831924,354.942,7.807282653717896,0.09533753596757048,0.43,10485.19322604565,0.47668767983785243,SIS,Small Island States
BHS,q3,0.2,0.2349541623229423,0.13087046158993693,354.942,7.807282653717896,0.1458342130158516,0.43,16038.802418384676,0.729171065079258,SIS,Small Island States
BHS,q4,0.2,0.237941577494045,0.13670690781566125,354.942,7.807282653717896,0.22410580895530652,0.43,24647.0887476571,1.1205290447765326,SIS,Small Island States
BHS,q5,0.2,0.252934835472171,0.16599890070108458,354.942,7.807282653717896,0.4847341715806731,0.43,53310.916846218584,2.4236708579033657,SIS,Small Island States
BIH,q1,0.2,0.14657483464002533,0.24700495430946168,3705.472,27.618291411230114,0.07422023744104207,0.3304,2765.9582183557072,0.37110118720521035,EEU,Central & Eastern Europe
BIH,q2,0.2,0.09535325690685799,0.2307425650606813,3705.472,27.618291411230114,0.12156083137912509,0.3304,4530.195431540276,0.6078041568956254,EEU,Central & Eastern Europe
BIH,q3,0.2,0.2227298881420927,0.14068302903408172,3705.472,27.618291411230114,0.1673531389311962,0.3304,6236.732809728228,0.8367656946559808,EEU,Central & Eastern Europe
BIH,q4,0.2,0.2559141724707175,0.13147873691757536,3705.472,27.618291411230114,0.23099523390399263,0.3304,8608.47644317071,1.1549761695199632,EEU,Central & Eastern Europe
BIH,q5,0.19999999999999998,0.27942784784030644,0.25009071467819993,3705.472,27.618291411230114,0.40587055834464403,0.3304,15125.53779329739,2.02935279172322,EEU,Central & Eastern Europe
BLR,q1,0.2,0.14377948317521388,0.3774750399744983,9420.574,118.57185022783123,0.06397710170375914,0.36966496,4026.232011567902,0.3198855085187957,FSU,Former Soviet Union
BLR,q2,0.2,0.1399288707348571,0.27479202425997756,9420.574,118.57185022783123,0.11118905137856017,0.36966496,6997.392912063144,0.5559452568928008,FSU,Former Soviet Union
BLR,q3,0.2,0.23970991422254923,0.04098466410125745,9420.574,118.57185022783123,0.15943221055753948,0.36966496,10033.450292795655,0.7971610527876974,FSU,Former Soviet Union
BLR,q4,0.2,0.20818566264801902,0.10359670567535495,9420.574,118.57185022783123,0.22936415785402248,0.36966496,14434.434978537292,1.1468207892701123,FSU,Former Soviet Union
BLR,q5,0.2,0.2683960692193607,0.20315156598891165,9420.574,118.57185022783123,0.43603747850611874,0.36966496,27440.881306780615,2.180187392530594,FSU,Former Soviet Union
BLZ,q1,0.2,0.09025238424820262,0.13807232466972194,322.464,2.064116123652634,0.03078687746459959,0.5326,985.3454985920589,0.15393438732299794,CAM,Central America
BLZ,q2,0.2,0.12269452748178725,0.12672461435141447,322.464,2.064116123652634,0.06929615048621907,0.5326,2217.849147899674,0.34648075243109533,CAM,Central America
BLZ,q3,0.2,0.21407896776870117,0.09038611164638616,322.464,2.064116123652634,0.11926872379047325,0.5326,3817.2399992462465,0.5963436189523662,CAM,Central America
BLZ,q4,0.2,0.22942000551930256,0.2461373116051601,322.464,2.064116123652634,0.20682739087266944,0.5326,6619.587803805737,1.0341369543633472,CAM,Central America
BLZ,q5,0.19999999999999996,0.34355411498200616,0.3986796377273173,322.464,2.064116123652634,0.5738208573860386,0.5326,18365.350609970432,2.869104286930193,CAM,Central America
BOL,q1,0.2,0.08692120337474794,0.13524209784697588,10048.59,43.19038245496415,0.028400708562086378,0.54783241,610.3530270358755,0.1420035428104319,LAM,South America
BOL,q2,0.2,0.09721007280554536,0.13292652806069355,10048.59,43.19038245496415,0.06559208652981756,0.54783241,1409.6242872094106,0.32796043264908775,LAM,South America
BOL,q3,0.2,0.19939745385235746,0.16267224522306734,10048.59,43.19038245496415,0.11501537833504867,0.54783241,2471.768764818323,0.5750768916752435,LAM,South America
BOL,q4,0.2,0.25269649083848716,0.2209181481373128,10048.59,43.19038245496415,0.20330705848835234,0.54783241,4369.224742926969,1.0165352924417617,LAM,South America
BOL,q5,0.2,0.36377477912886214,0.3482409807319504,10048.59,43.19038245496415,0.587684768084695,0.54783241,12629.796765782507,2.9384238404234755,LAM,South America
BRA,q1,0.2,0.12101563126959775,0.17099622432076944,195713.635,1960.360571240302,0.023922843656859115,0.57863876,1198.1127287542529,0.11961421828429557,LAM,South America
BRA,q2,0.2,0.12852047020898127,0.13488556865929102,195713.635,1960.360571240302,0.05827142389303392,0.57863876,2918.371063669983,0.29135711946516957,LAM,South America
BRA,q3,0.2,0.18552759091913676,0.1357251535230554,195713.635,1960.360571240302,0.10621643502677697,0.57863876,5319.570893571134,0.5310821751338849,LAM,South America
